MARCA;MODELO;AÑO;PRECIO
Toyota;Corolla;2024;$22,500
Honda;Civic;2024;$21,000
Ford;F-150;2024;$28,000
Chevrolet;Silverado;2024;$32,000
Nissan;Altima;2024;$20,000
Hyundai;Sonata;2024;$23,000
Kia;Telluride;2024;$34,000
Tesla;Model 3;2024;$46,000
Volkswagen;Jetta;2024;$18,000
BMW;3 Series;2024;$40,000
Mercedes-Benz;C-Class;2024;$45,000
Lexus;RX;2024;$48,000
Acura;MDX;2024;$42,000
Mazda;CX-5;2024;$26,000
Subaru;Outback;2024;$28,000
Toyota;RAV4;2024;$26,000
Honda;CR-V;2024;$28,000
Ford;Escape;2024;$24,000
Chevrolet;Equinox;2024;$26,000
Nissan;Rogue;2024;$25,000
Hyundai;Tucson;2024;$26,000
Kia;Sportage;2024;$25,000
Tesla;Model Y;2024;$58,000
Volkswagen;Tiguan;2024;$26,000
BMW;X3;2024;$47,000
Mercedes-Benz;GLC-Class;2024;$50,000
Lexus;NX;2024;$39,000
Acura;RDX;2024;$38,000
Mazda;3;2024;$22,000
Subaru;Forester;2024;$27,000
Toyota;Camry;2024;$25,000
Honda;Accord;2024;$25,000
Ford;Fusion;2024;$22,000
Chevrolet;Malibu;2024;$23,000
Nissan;Sentra;2024;$19,000
Hyundai;Elantra;2024;$20,000
Kia;Forte;2024;$18,000
Tesla;Model S;2024;$94,000
Volkswagen;Passat;2024;$25,000
BMW;5 Series;2024;$54,000
Mercedes-Benz;E-Class;2024;$58,000
Lexus;ES;2024;$47,000
Acura;ILX;2024;$27,000
Mazda;6;2024;$24,000
Subaru;Crosstrek;2024;$23,000
